[version = 0]			
			
[num_to_mod = noun_rus]			
	ед	мн05	мн24
имн	час	часов	часа
род	часа	часов	часов
дат	часу	часам	часам
вин	час	часов	часа
твр	часом	часами	часами
прд	часе	часах	часах
			
[num_to_mod = noun_rus]			
	ед	мн05	мн24
имн	день	дней	дня
род	дня	дней	дней
дат	дню	дням	дням
вин	день	дней	дня
твр	днём	днями	днями
прд	дне	днях	днях
			
[num_to_mod = noun_rus]			
	ед	мн05	мн24
имн	ход	ходов	хода
род	хода	ходов	ходов
дат	ходу	ходам	ходам
вин	ход	ходов	хода
твр	ходом	ходами	ходами
прд	ходе	ходах	ходах
			
[num_to_mod = noun_rus]			
	ед	мн05	мн24
имн	раз	раз	раза
род	раза	раз	раз
дат	разу	разам	разам
вин	раз	раз	раза
твр	разом	разами	разами
прд	разе	разах	разах